"","year","r_o2","r_salinity","r_temp"
"1",1951,3.22347078867029,33.2397443335482,13.8316550692726
"2",1952,3.45385395006308,33.1800440833929,13.9519624409044
"3",1953,3.11032266930802,33.2502082646286,13.3004657503984
"4",1954,NA,33.2431350050918,14.0734025430238
"5",1955,2.73845495621736,33.3297617949992,13.6345320011738
"6",1956,2.82731244828544,33.3954749125304,13.1740839721867
"7",1957,2.80847395718478,33.4203810972155,14.0887189674299
"8",1958,3.30740951894868,33.4157426897328,15.1974654283216
"9",1959,3.24424763034406,33.468616625067,15.2542140125388
"10",1960,3.12468042369515,33.4778015722422,14.3945424759712
"11",1961,3.12949347510405,33.4461176991817,14.2422066072913
"12",1962,2.88468749011189,33.4555998510299,13.4673291713269
"13",1963,3.16413043488738,33.4144961776752,14.2082190831145
"14",1964,3.31308317499483,33.4707620307046,14.2851042687965
"15",1965,3.32048677156205,33.3452297847896,13.7446433801664
"16",1966,3.12309032150681,33.3159233831527,13.9208929719716
"17",1967,3.2870404879058,33.292526103557,15.4728241932461
"18",1968,3.30060757143286,33.3987878152715,14.1369350366948
"19",1969,3.43171093265192,33.2711978888273,13.9272876430522
"20",1970,NA,NA,NA
"21",1971,NA,NA,NA
"22",1972,3.63381279612768,33.3283494631557,13.1399364347714
"23",1973,NA,NA,NA
"24",1974,NA,NA,NA
"25",1975,3.24857074348703,33.4745996644381,13.4379284610006
"26",1976,NA,NA,NA
"27",1977,NA,NA,NA
"28",1978,3.50913793499491,33.1291962663792,15.0839344725248
"29",1979,NA,NA,NA
"30",1980,NA,NA,NA
"31",1981,3.06617973907881,33.4995219953449,15.0817516933524
"32",1982,NA,NA,NA
"33",1983,3.50343717073501,33.3264301161941,15.0680023851065
"34",1984,3.46276524475125,33.3329634723902,14.7616749014648
"35",1985,3.39564855282524,33.3960190895331,13.8489572825462
"36",1986,3.46592043072211,33.309697921349,14.5362156081063
"37",1987,3.33131749421534,33.2937990580724,14.9068459297233
"38",1988,3.252144465736,33.3506658803272,13.8350709465468
"39",1989,3.06139366681325,33.347816179073,13.8133121298893
"40",1990,3.22248917796962,33.407694479087,13.9816456035719
"41",1991,3.3717146307772,33.4009953297043,14.2504934905937
"42",1992,3.51034647625476,33.1721975490854,14.9295793549326
"43",1993,3.55700504950827,33.1087264104895,14.5588053735271
"44",1994,3.64871110797841,33.227826334979,14.7560408053447
"45",1995,3.53965486771421,33.1845719875868,14.3474979357789
"46",1996,3.26979932323363,33.3566748730509,15.0134771284753
"47",1997,3.16109535119063,33.2506342853386,14.4206174452586
"48",1998,3.61053976300434,33.3814319706539,15.3476911567978
"49",1999,3.07175520538242,33.384111465307,13.3321945347372
"50",2000,3.09224820697155,33.4317086571665,14.2004918633242
"51",2001,3.14942144023316,33.4158984267323,13.7580076886157
"52",2002,3.08424241089355,33.3658199878899,13.3822084573828
"53",2003,3.06362624249317,33.1111957153857,14.452692953821
"54",2004,3.07558741342737,33.0214110593354,14.3446448982581
"55",2005,2.98675460748091,33.0158449109479,14.4751461930858
"56",2006,2.81501408854733,33.1797423405678,14.1745974672236
"57",2007,2.87111188069725,33.4379691289489,13.629290855645
"58",2008,2.83529826009099,33.3088766852553,13.0952837160757
"59",2009,2.95652131202513,33.2392663999484,13.6966073750461
"60",2010,3.16874968891168,33.2287999842931,14.355684443283
"61",2011,2.83052578577534,33.2007571941175,13.8628530516804
"62",2012,2.65950781742485,33.309619763896,13.4603746104162
"63",2013,2.87758690564105,33.4161486617403,13.6082594012999
"64",2014,3.15091100375941,33.3425628339431,14.5540645215469
"65",2015,3.44925711251831,33.2342790437161,16.2949497336722
